"Анкетирование ""Опрос по IT-инфраструктуры ППС""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Период проведения анкетирования: 26.12.2025 - 31.12.2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Целевая аудитория: 2733;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Дата формирования отчета: 22.01.2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Опрошены 300 или 11% от найденных или 11% от целевой аудитории;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Данные по респонденту;;;;;;;;;;;;;Данные по анкете;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№ анкеты;Дата заполнения анкеты;штатный;;Внутренний совместитель;;Внешний совместитель;;Иностранный преподаватель;Академическая степень;Академический статус;Полный стаж работы;Стаж работы в ВУЗе;Язык заполнения анкеты;"Ваш статус?
";"Ваш факультет:
";"Как вы оцениваете качество компьютеров в компьютерных классах?
";"Какие проблемы вы встречали? (можно выбрать несколько)
";"Как вы оцениваете работу интерактивных панелей/проекторных комплексов?
";"Какие функции наиболее полезны?
";"Уровень сигнала Wi-Fi:
";"В каких местах наблюдаются проблемы с подключением к сети Wi-Fi?
";"Вы используете университетские облачные сервисы (Microsoft 365)?
";"Насколько они удобны?
";"Какие сервисы Microsoft 365 вы считаете самыми полезными?
";"Как вы оцениваете стабильность работы университетских онлайн-систем (Платонус, Сайт, СмартЕНУ)?
";"Возникали перебои в доступе к сервисам?
";"Насколько удобно использование системы распознавания лиц/турникетов?
";"Ваши предложения по улучшению IT-инфраструктуры
";"Определите Ваш уровень владения различными цифровыми инструментами, необходимыми в рамках работы в ЕНУ им. Л.Н. Гумилева:
";"Какие цифровые инструменты вы используете в своей повседневной работе в университете?
";"Какие задачи Вы решаете с помощью этих цифровых инструментов ? Возможно несколько вариантов ответа
";"
Какие преимущества или возможности для работы Вы видите в использовании цифровых инструментов ?
";"Назовите основные проблемы или трудности, возникающие у Вас при использовании текущих цифровых инструментов
";"Какие виды обучения или поддержки по использованию цифровых инструментов Вы бы хотели получить от университета?
";"Какие цифровые инструменты необходимы лично Вам для улучшения работы?
";"Как бы вы оценили уровень цифровизации в ЕНУ им. Л.Н. Гумилева по 10-балльной шкале?
";"Насколько, по Вашему мнению, цифровые инструменты, используемые в ЕНУ им. Гумилева соответствуют образовательным целям университета?
";"Удобно ли работать с цифровыми инструментами, используемыми в ЕНУ им. Л.Н. Гумилева?
";"
Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:
 Управление учебным процессом: расписания занятий, просмотра учебных материалов, записи на курсы и выполнения заданий
";"Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:
";"
Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:


 Совместная работа, обмен материалами, коммуникация между преподавателями и студентами
";"
Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:


Оценивание и обратная связь
";"
Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:

Доступ к научным базам данных, инструментам анализа данных, программам для визуализации результатов и др.
";"
Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:


 Управление студенческой жизнью, включая доступ к информации о студенческих мероприятиях, общежитиях, финансовой поддержке и др.
";"
Насколько хорошо цифровые инструменты интегрированы с другими системами и сервисами, используемыми в университете 
(например, с АИС &laquo;Платон&raquo;, SmartENU, сайтами, почтой и др.)?
";"Предоставляют ли цифровые инструменты возможности для инноваций в образовании и исследованиях?
";"Обеспечивают ли цифровые инструменты необходимый уровень безопасности и защиты конфиденциальных данных?
";"Насколько Вы удовлетворены функциональностью АИС &laquo;Платон&raquo;?
";"Имеете ли Вы какие-либо предложения по улучшению АИС &laquo;Платон&raquo;?
";"Какими подсистемами Вы пользуетесь в АИС SmartENU?
";"Насколько Вы удовлетворены функциональностью АИС SmartENU?
";"Оцените, насколько АИС SmartENU улучшает Вашу производительность и эффективность работы
";"Имеете ли вы какие-либо предложения по улучшению АИС SmartENU?
";"Насколько Вы удовлетворены удобством предоставления образования посредством МООК (доступность платформы, понятный интерфейс, качество видео массовых открытых онлайн курсов)?
"
22217431;2025-12-27 17:56;Кафедра Учет и анализ;ст. преподаватель;;;;;Нет;Магистр;—;10;10;Русский язык;Другой (Преподаватель);Экономический;Удовлетворительное;Недостаток установленного ПО, Медленная загрузка;Хорошо;Встроенный компьютер;Удовлетворительный;В кабинетах;Нет;Не использую;Облачное хранилище;Хорошая;Иногда;Удобно;1С бухгалтерии нет;Базовый: основные навыки в работе с цифровыми инструментами, но требуется дополнительное обучение;Смарт, Платонус,;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч, Управление учебными исследованиями: поиск и анализ академических ресурсов, управление исследовательских проектов, совместная работа над научными публикациями, Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи, Участие в профессиональном развитии: доступ к онлайн-курсам, сетевое общение с коллегами, участие в вебинарах и тренингах;Возможность выполнять задачи быстрее и эффективнее благодаря автоматизации процессов и доступу к информации в реальном времени;Постоянные проблемы с подключением к сети интернет или низкая скорость, что затрудняет доступ к цифровым ресурсам и выполнение задач;Обучающие курсы и тренинги по использованию конкретных цифровых инструментов, таких как платформы для онлайн-обучения, офисные приложения, научные базы данных и др.;Пауэр би ай)));7;Скорее соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;7;8;8;9;6;7;Ограниченно интегрированы, только с некоторыми системами и сервисами университета;Предоставляют частично;Скорее не обеспечивают;8;Нет;6.0;8.0;7.0;Нет;7.0
22217438;2025-12-26 15:38;Кафедра Математическое и компьютерное моделирование;Доцент (исполняющий обязанности);;;;;Нет;Доктор PhD;—;11;10;Русский язык;Другой (ППС);ММФ;Неудовлетворительное;Недостаточная производительность, Недостаток установленного ПО, Медленная загрузка;Удовлетворительно;Мобильность комплекса;Плохой;часто пропадает,  даже на кафедре;Да, активно;Средне;Онлайн-документы;Удовлетворительная;Часто;Затрудняюсь ответить;ни каких;Продвинутый: высокий уровень навыков в использовании цифровых инструментов, способность решать сложные задачи.;"Microsoft Office 365 (Word, Excel, PowerPoint) – для подготовки документов, отчетов и презентаций.
Microsoft Teams – для проведения онлайн‑совещаний, консультаций и дистанционных занятий.
Платформу Moodle  – для организации учебного процесса, размещения материалов и контроля выполнения заданий.";Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч, Управление учебными исследованиями: поиск и анализ академических ресурсов, управление исследовательских проектов, совместная работа над научными публикациями, Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи, Участие в профессиональном развитии: доступ к онлайн-курсам, сетевое общение с коллегами, участие в вебинарах и тренингах;Улучшение коммуникации и совместной работы;Недостаточное оборудование и инфраструктура для эффективной работы с цифровыми инструментами (например, устаревшие компьютеры или недостаточное количество устройств);Обучающие курсы и тренинги по использованию конкретных цифровых инструментов, таких как платформы для онлайн-обучения, офисные приложения, научные базы данных и др.;Программы для анализа данных и моделирования (MATLAB, Python, R, 1С) – для проведения научных исследований и математического моделирования.;2;Скорее не соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;7;5;5;5;3;3;Затрудняюсь ответить;Не предоставляют совсем;Затрудняюсь ответить;5;"Предлагаю улучшить АИС «Платон» за счёт:
более удобного интерфейса и навигации;

ускоренной загрузки и обработки документов;
расширения функций для обратной связи и уведомлений.";6.0;6.0;6.0;нет;6.0
22217454;2025-12-27 10:22;Кафедра Иностранных языков (международные отношения);преподаватель;;;;;Нет;Магистр;—;24;9;Русский язык;Другой (Преподаватель);ФМО;Не пользовался(ась);Ответ с комментарием (У меня нет занятий в компьютерных классах);Хорошо;Встроенный компьютер;Плохой;В главном корпусе плохое подключение, слабый сигнал  в аудиториях, иногда нет связи. В корпусе факультета социальных наук хорошая связь, подключение работает в аудиториях;Да, активно;Удобны;Онлайн-документы;Хорошая;Редко;Очень удобно;Проверить и улучшить сигнал Wi-fi в аудиториях главного корпуса;Средний: уверенное владение основными цифровыми инструментами, способность эффективно выполнять задачи.;Компьютер, презентационный комплекс, принтер, проектор;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч, Управление учебными исследованиями: поиск и анализ академических ресурсов, управление исследовательских проектов, совместная работа над научными публикациями, Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи, Управление административными задачами: ведение учета студентов, подготовка отчетов, оформление документов, взаимодействие с учебным персоналом и администрацией, Участие в профессиональном развитии: доступ к онлайн-курсам, сетевое общение с коллегами, участие в вебинарах и тренингах;Возможность выполнять задачи быстрее и эффективнее благодаря автоматизации процессов и доступу к информации в реальном времени;Постоянные проблемы с подключением к сети интернет или низкая скорость, что затрудняет доступ к цифровым ресурсам и выполнение задач;Обучающие курсы и тренинги по использованию конкретных цифровых инструментов, таких как платформы для онлайн-обучения, офисные приложения, научные базы данных и др.;Увеличить количество презентационного комплекса, обеспечить ППС планшетом, шнур HDMI;7;Скорее соответствуют;Инструменты легки в использовании, легко осваиваются и комфортны;7;7;7;7;7;7;Хорошо интегрированы с другими системами и сервисами университета;Предоставляют частично;Скорее не обеспечивают;7;нет;1.0;9.0;9.0;нет;7.0
22217463;2025-12-26 19:33;Кафедра Теоретическая и прикладная лингвистика;ст. преподаватель;;;;;Нет;Магистр;—;12;9;Русский язык;Другой (Преподаватель);ФФ;Удовлетворительное;Недостаточная производительность, Медленная загрузка;Хорошо;Большой экран;Удовлетворительный;Почти везде…;Иногда;Средне;Онлайн-документы;Плохая;Часто;Неудобно;Нуждаются в доработке;Средний: уверенное владение основными цифровыми инструментами, способность эффективно выполнять задачи.;Google files, Socrative, Teams;Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч, Управление временем и задачами: планирование расписания, создание списка дел, отслеживание сроков выполнения задач, Участие в профессиональном развитии: доступ к онлайн-курсам, сетевое общение с коллегами, участие в вебинарах и тренингах;Сокращение затрат времени и ресурсов;Недостаточное количество или отсутствие определенных функций в цифровых инструментах, необходимых для выполнения определенных задач или процессов;Доступ к обучающим материалам и руководствам (видеоуроки, инструкции, FAQ) по использованию цифровых инструментов;Нет нужды;8;Скорее не соответствуют;Работать с ними по большей части неудобно, слишком сложно;7;8;8;9;8;6;Хорошо интегрированы с другими системами и сервисами университета;Представляют в полной мере;Скорее не обеспечивают;7;Нет;3.0;6.0;7.0;Нет;7.0
22217475;2025-12-26 21:07;Кафедра Математическое и компьютерное моделирование;ст. преподаватель;;;;;Нет;Доктор PhD;—;41;9;Русский язык;Другой (Преподаватель);Механико - математический;Удовлетворительное;Недостаточная производительность, Недостаток установленного ПО;Удовлетворительно;Сенсорное управление;Удовлетворительный;Wi-Fi слабый везде;Иногда;Удобны;Онлайн-документы;Удовлетворительная;Иногда;Удобно;Wi-Fi нужно усилить, Платонус, Сайт, СмартЕНУ нужно оптимизировать - слишком много формальных работ!;Средний: уверенное владение основными цифровыми инструментами, способность эффективно выполнять задачи.;Платонус.;Управление учебными исследованиями: поиск и анализ академических ресурсов, управление исследовательских проектов, совместная работа над научными публикациями, Участие в профессиональном развитии: доступ к онлайн-курсам, сетевое общение с коллегами, участие в вебинарах и тренингах;Доступ к необходимой информации из любого места и в любое время через онлайн-сервисы и цифровые инструменты (облачные хранилища данных или электронные библиотеки);Постоянные проблемы с подключением к сети интернет или низкая скорость, что затрудняет доступ к цифровым ресурсам и выполнение задач;Обучение по вопросам кибербезопасности и защиты данных при работе с цифровыми инструментами;Инструменты Искусственного интеллекта;5;Скорее соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;5;5;6;6;5;6;Ограниченно интегрированы, только с некоторыми системами и сервисами университета;Предоставляют частично;Скорее не обеспечивают;5;Думаю, Платонус должен полностью охватывать деятельность ППС;5.0;5.0;3.0;Все работы должны проводиться в АИС Платонус;5.0
22217492;2025-12-29 12:30;Кафедра Геодезия и картография;ст. преподаватель;Кафедра Геодезия и картография;преподаватель;;;Нет;Магистр;—;8;11;Русский язык;Другой (Старший преподаватель);АСФ;Удовлетворительное;Недостаток установленного ПО;Отлично;Встроенный компьютер;Плохой;В общем по корпусу АСФ плохо работает, а в 405 аудитории вообще не работает;Иногда;Удобны;Облачное хранилище;Отличная;Редко;Очень удобно;Усиление скорости интернета, расширение покрытия Wi-Fi;Продвинутый: высокий уровень навыков в использовании цифровых инструментов, способность решать сложные задачи.;Образовательные платформы, Microsoft Teams,  профессиональные ПО и т.д.;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч, Управление временем и задачами: планирование расписания, создание списка дел, отслеживание сроков выполнения задач, Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи, Управление административными задачами: ведение учета студентов, подготовка отчетов, оформление документов, взаимодействие с учебным персоналом и администрацией, Участие в профессиональном развитии: доступ к онлайн-курсам, сетевое общение с коллегами, участие в вебинарах и тренингах;Возможность выполнять задачи быстрее и эффективнее благодаря автоматизации процессов и доступу к информации в реальном времени;Недостаточное оборудование и инфраструктура для эффективной работы с цифровыми инструментами (например, устаревшие компьютеры или недостаточное количество устройств);Доступ к обучающим материалам и руководствам (видеоуроки, инструкции, FAQ) по использованию цифровых инструментов;Бесплатный мессенджер университета, который можно было бы использовать вместо WhatsApp.;9;В полной мере соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;10;9;10;10;9;9;Хорошо интегрированы с другими системами и сервисами университета;Представляют в полной мере;Скорее обеспечивают;10;нет;9.0;9.0;9.0;нет;9.0
22217500;2025-12-26 16:36;Кафедра Технология промышленного и гражданского строительства;ст. преподаватель;;;;;Нет;Доктор наук;—;8;1;Русский язык;Другой (преподаватель);асф;Неудовлетворительное;Недостаточная производительность, Недостаток установленного ПО, Медленная загрузка;Удовлетворительно;Большой экран;Плохой;везде;Нет;Неудобны;Корпоративная почта;Плохая;Часто;Неудобно;это вопрос не ко мне, есть много хороших примеров;Продвинутый: высокий уровень навыков в использовании цифровых инструментов, способность решать сложные задачи.;их много;Участие в профессиональном развитии: доступ к онлайн-курсам, сетевое общение с коллегами, участие в вебинарах и тренингах;Сокращение затрат времени и ресурсов;Недостаточное оборудование и инфраструктура для эффективной работы с цифровыми инструментами (например, устаревшие компьютеры или недостаточное количество устройств);Индивидуальные консультации и помощь специалистов по цифровым инструментам для решения специфических проблем или вопросов;Затрудняюсь ответить;2;Совершенно не соответствуют;Работать с ними по большей части неудобно, слишком сложно;2;2;2;2;4;3;Практически не интегрированы с другими системами и сервисами университета;Предоставляют частично;Скорее не обеспечивают;3;Затрудняюсь ответить;2.0;2.0;2.0;Затрудняюсь ответить;4.0
22217506;2025-12-26 13:59;Кафедра Печати и издательского дела;ст. преподаватель;;;;;Нет;—;—;8;8;Русский язык;Другой (оқытушы);Журналистика және әлеуметтік ғылымдар;Неудовлетворительное;Недостаток установленного ПО;Удовлетворительно;Сенсорное управление;Хороший;в некоторых аудиториях вай-фай не ловит. Например, 301-м;Редко;Средне;Корпоративная почта;Хорошая;Иногда;Неудобно;чтоб все было отлично;Средний: уверенное владение основными цифровыми инструментами, способность эффективно выполнять задачи.;Платонус, СмартЕНУ, Сайт ЕНУ;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч, Управление административными задачами: ведение учета студентов, подготовка отчетов, оформление документов, взаимодействие с учебным персоналом и администрацией, Участие в профессиональном развитии: доступ к онлайн-курсам, сетевое общение с коллегами, участие в вебинарах и тренингах;Возможность выполнять задачи быстрее и эффективнее благодаря автоматизации процессов и доступу к информации в реальном времени;Неудобный интерфейс или сложные функции цифровых инструментов, что требует дополнительного времени и усилий для освоения их работы;Обучение по вопросам кибербезопасности и защиты данных при работе с цифровыми инструментами;Платонус, Смарт ЕНУ;7;Скорее соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;7;7;7;7;7;7;Хорошо интегрированы с другими системами и сервисами университета;Предоставляют частично;Скорее обеспечивают;7;скорее нет;1.0;5.0;5.0;скорее нет;5.0
22217514;2025-12-30 11:55;Кафедра Системного анализа и управления;доцент;;;;;Нет;Кандидат наук;Доцент;8;8;Русский язык;Другой (доцент);фит;Удовлетворительное;Недостаток установленного ПО;Хорошо;Большой экран;Хороший;в некоторых аудиториях;Иногда;Средне;Корпоративная почта;Хорошая;Иногда;Удобно;большая скорость, ПО;Продвинутый: высокий уровень навыков в использовании цифровых инструментов, способность решать сложные задачи.;матлаб;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Управление учебными исследованиями: поиск и анализ академических ресурсов, управление исследовательских проектов, совместная работа над научными публикациями, Участие в профессиональном развитии: доступ к онлайн-курсам, сетевое общение с коллегами, участие в вебинарах и тренингах;Улучшение качества обучения и обратной связи;Постоянные проблемы с подключением к сети интернет или низкая скорость, что затрудняет доступ к цифровым ресурсам и выполнение задач;Доступ к обучающим материалам и руководствам (видеоуроки, инструкции, FAQ) по использованию цифровых инструментов;матлаб, Unisim Design;8;Скорее соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;8;7;7;7;7;7;Ограниченно интегрированы, только с некоторыми системами и сервисами университета;Предоставляют частично;Скорее обеспечивают;7;нет;5.0;6.0;7.0;нет;7.0
22217520;2025-12-26 17:43;Кафедра Теории и практики перевода;преподаватель;;;;;Нет;Магистр;—;8;8;Русский язык;Магистрант;Филологический;Отличное;Нет проблем;Удовлетворительно;Большой экран;Удовлетворительный;308 кабинет УЛК;Редко;Средне;Облачное хранилище;Хорошая;Никогда;Удобно;улучшить wi-fi;Средний: уверенное владение основными цифровыми инструментами, способность эффективно выполнять задачи.;ИИ;Управление административными задачами: ведение учета студентов, подготовка отчетов, оформление документов, взаимодействие с учебным персоналом и администрацией;Возможность выполнять задачи быстрее и эффективнее благодаря автоматизации процессов и доступу к информации в реальном времени;Затрудняюсь ответить;Индивидуальные консультации и помощь специалистов по цифровым инструментам для решения специфических проблем или вопросов;нету;6;Скорее соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;7;7;6;5;4;4;Ограниченно интегрированы, только с некоторыми системами и сервисами университета;Предоставляют частично;Скорее обеспечивают;7;нету;4.0;6.0;6.0;нет;6.0
22217524;2025-12-26 10:49;Кафедра Религиоведения;ст. преподаватель;;;;;Нет;Магистр;—;8;8;Русский язык;Магистрант;ФЖСН;Хорошее;Медленная загрузка;Отлично;Сенсорное управление;Хороший;точно не знаю;Да, активно;Удобны;Облачное хранилище;Хорошая;Редко;Удобно;желаю дальнейшего процветания;Средний: уверенное владение основными цифровыми инструментами, способность эффективно выполнять задачи.;Директум, СмартЕНУ, платонус;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Управление временем и задачами: планирование расписания, создание списка дел, отслеживание сроков выполнения задач, Управление административными задачами: ведение учета студентов, подготовка отчетов, оформление документов, взаимодействие с учебным персоналом и администрацией;Сокращение затрат времени и ресурсов;Проблемы с безопасностью и конфиденциальностью данных при использовании цифровых инструментов, включая угрозы кибератак и утечек информации;Обучение по вопросам кибербезопасности и защиты данных при работе с цифровыми инструментами;кибербезопасность;10;В полной мере соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;10;10;10;10;10;10;Ограниченно интегрированы, только с некоторыми системами и сервисами университета;Предоставляют частично;Скорее обеспечивают;10;нет;6.0;9.0;10.0;нет;10.0
22217526;2025-12-26 20:15;Кафедра Биотехнологии и микробиологии;ассоциированный профессор (доцент);Кафедра Строительство;доцент;;;Нет;Кандидат наук;Доцент;8;8;Русский язык;Другой (Доцент);ФЕН;Удовлетворительное;Недостаточная производительность, Недостаток установленного ПО, Медленная загрузка;Удовлетворительно;Большой экран;Плохой;в корпусе;Иногда;Удобны;Онлайн-документы;Хорошая;Иногда;Удобно;Побольше интерактивных доск;Базовый: основные навыки в работе с цифровыми инструментами, но требуется дополнительное обучение;Вайфай;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч, Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи;Возможность выполнять задачи быстрее и эффективнее благодаря автоматизации процессов и доступу к информации в реальном времени;Постоянные проблемы с подключением к сети интернет или низкая скорость, что затрудняет доступ к цифровым ресурсам и выполнение задач;Обучающие курсы и тренинги по использованию конкретных цифровых инструментов, таких как платформы для онлайн-обучения, офисные приложения, научные базы данных и др.;Персональный компьютер;8;В полной мере соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;10;9;9;9;9;9;Ограниченно интегрированы, только с некоторыми системами и сервисами университета;Представляют в полной мере;Скорее обеспечивают;9;Нет;9.0;9.0;9.0;Не дублировать с другими системами;9.0
22217531;2025-12-28 11:52;Кафедра Химии;ассоциированный профессор (доцент);;;;;Нет;Кандидат наук;ассоциированный профессор (доцент);19;8;Русский язык;Другой (Преподаватель);of Natural Sciences;Удовлетворительное;Недостаточная производительность, Недостаток установленного ПО, Медленная загрузка;Удовлетворительно;Ответ с комментарием (все варианты важны);Удовлетворительный;во всем корпусе;Да, активно;Удобны;Ответ с комментарием (все варианты важны);Хорошая;Часто;Удобно;"1) прошу наладить работу сенсорных экранов, их и так мало, так еще и не работают часто.
2) у меня раб компьютер загружается только 40 мин, сотрудники проверяли и сказали, что это еще нормальный (не старый) компьютер. Это сильно отражается на эффективности моей работы.";Продвинутый: высокий уровень навыков в использовании цифровых инструментов, способность решать сложные задачи.;у меня раб компьютер загружается только 40 мин, сотрудники проверяли и сказали, что это еще нормальный (не старый) компьютер. Это сильно отражается на эффективности моей работы. 2 года жду замены (новый), видимо, так и буду ждать еще7;"Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч, Управление учебными исследованиями: поиск и анализ академических ресурсов, управление исследовательских проектов, совместная работа над научными публикациями, Управление временем и задачами: планирование расписания, создание списка дел, отслеживание сроков выполнения задач, Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи, Управление административными задачами: ведение учета студентов, подготовка отчетов, оформление документов, взаимодействие с учебным персоналом и администрацией, Участие в профессиональном развитии: доступ к онлайн-курсам, сетевое общение с коллегами, участие в вебинарах и тренингах, Ответ с комментарием (все отмеченные пункты, однако, с учетом какой ""старый"" мой рабочий компьютер, это трудно дается. Свой личный лаптоп я носила на работу и во время весенних гололедов прям перед циси упала и разбила его. Теперь не ношу.)";Ответ с комментарием (первые 6 пунктов);Ответ с комментарием (мой рабочий компьютер элементарно еле загружается и сохраняет документы долгоооо);"Ответ с комментарием (1) обеспечить раб компьютером (работающим)
2) wifi: по работе часто участвую в онлайн митингах с коллегами зарубежными, все всремя испытываю проблемы, виснет все. Сходила в библиотеку: там не разрешают сотрудники.
3))";компьютер;3;Затрудняюсь ответить;Работать с ними по большей части неудобно, слишком сложно;5;5;4;3;5;5;Ограниченно интегрированы, только с некоторыми системами и сервисами университета;Затрудняюсь ответить;Скорее не обеспечивают;5;Онлайн приложение на базе app store нужно внедрять активно для преподавателей;3.0;4.0;4.0;Не продумана система, не нравится, что используется ИНН;3.0
22217532;2025-12-26 13:54;Кафедра Стандартизации,  сертификации и метрологии;ассоциированный профессор (доцент);;;;;Нет;Кандидат наук;ассоциированный профессор (доцент);8;8;Русский язык;Другой (асс. профессор);ТЭФ;Удовлетворительное;Медленная загрузка;Удовлетворительно;Большой экран;Удовлетворительный;в местах с физическими препятствиями (стены, мебель, зеркала);Редко;Средне;Корпоративная почта;Удовлетворительная;Редко;Удобно;модернизировать оборудование и ПО, перейти на облачные/гибридные решения для гибкости, усилить кибербезопасность, автоматизировать процессы (включая документооборот), внедрить резервное копирование и мониторинг, а также оптимизировать затраты через виртуализацию и централизацию управления. Основные направления – это повышение эффективности, масштабируемости, безопасности и снижение издержек.;Средний: уверенное владение основными цифровыми инструментами, способность эффективно выполнять задачи.;В университете активно используются платформы для дистанционного обучения (Moodle, Google Classroom, Microsoft Teams), сервисы для видеоконференций (Zoom, Google Meet), инструменты для совместной работы и документов;Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи;Улучшение качества обучения и обратной связи;Отсутствие интеграции цифровых инструментов с другими системами и сервисами, что приводит к сложностям;Доступ к обучающим материалам и руководствам (видеоуроки, инструкции, FAQ) по использованию цифровых инструментов;"Интерактивные доски и программное обеспечение ...
Мобильные приложения и платформы ...
Вебинары и видеоконференции ...
Адаптивные образовательные платформы ..";5;Совершенно не соответствуют;Работать с ними очень удобно и просто;5;7;5;7;7;6;Хорошо интегрированы с другими системами и сервисами университета;Не предоставляют совсем;Скорее обеспечивают;5;нет;5.0;5.0;5.0;нет;10.0
