"Анкетирование ""Опрос по IT-инфраструктуры-студентам""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Период проведения анкетирования: 26.12.2025 - 31.12.2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Целевая аудитория: 27557;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Дата формирования отчета: 23.01.2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Опрошены 1231 или 4% от найденных или 4% от целевой аудитории;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Данные по респонденту;;;;;;;;Данные по анкете;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№ анкеты;Дата заполнения анкеты;Академическая степень;Факультет;Кафедра;Специальность/Группа образовательных программ;Курс обучения;Язык обучения;Язык заполнения анкеты;"Ваш статус?
";"Ваш факультет:
";"Как вы оцениваете качество компьютеров в компьютерных классах?
";"Какие проблемы вы встречали? (можно выбрать несколько)
";"Как вы оцениваете работу интерактивных панелей/проекторных комплексов?
";"Какие функции наиболее полезны?
";"Уровень сигнала Wi-Fi:
";"В каких местах наблюдаются проблемы с подключением к сети Wi-Fi?
";"Вы используете университетские облачные сервисы (Microsoft 365)?
";"Насколько они удобны?
";"Какие сервисы Microsoft 365 вы считаете самыми полезными?
";"Как вы оцениваете стабильность работы университетских онлайн-систем (Платонус, Сайт, СмартЕНУ)?
";"Возникали перебои в доступе к сервисам?
";"Насколько удобно использование системы распознавания лиц/турникетов?
";"Ваши предложения по улучшению IT-инфраструктуры
";"Определите Ваш уровень владения различными цифровыми инструментами, необходимыми в рамках работы в ЕНУ им. Л.Н. Гумилева:
";"Какие цифровые инструменты вы используете в своей повседневной работе в университете?
";"Какие задачи Вы решаете с помощью этих цифровых инструментов ? Возможно несколько вариантов ответа
";"
Какие преимущества или возможности для работы Вы видите в использовании цифровых инструментов ?
";"Назовите основные проблемы или трудности, возникающие у Вас при использовании текущих цифровых инструментов
";"Какие виды обучения или поддержки по использованию цифровых инструментов Вы бы хотели получить от университета?
";"Какие цифровые инструменты необходимы лично Вам для улучшения работы?
";"Как бы вы оценили уровень цифровизации в ЕНУ им. Л.Н. Гумилева по 10-балльной шкале?
";"Насколько, по Вашему мнению, цифровые инструменты, используемые в ЕНУ им. Гумилева соответствуют образовательным целям университета?
";"Удобно ли работать с цифровыми инструментами, используемыми в ЕНУ им. Л.Н. Гумилева?
";"
Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:
 Управление учебным процессом: расписания занятий, просмотра учебных материалов, записи на курсы и выполнения заданий
";"Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:
Онлайн платформы для дистанционного обучения, вебинары, электронные учебники
";"
Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:


 Совместная работа, обмен материалами, коммуникация между преподавателями и студентами
";"
Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:


Оценивание и обратная связь
";"
Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:

Доступ к научным базам данных, инструментам анализа данных, программам для визуализации результатов и др.
";"
Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:


 Управление студенческой жизнью, включая доступ к информации о студенческих мероприятиях, общежитиях, финансовой поддержке и др.
";"
Насколько хорошо цифровые инструменты интегрированы с другими системами и сервисами, используемыми в университете 
(например, с АИС &laquo;Платон&raquo;, SmartENU, сайтами, почтой и др.)?
";"Предоставляют ли цифровые инструменты возможности для инноваций в образовании и исследованиях?
";"Обеспечивают ли цифровые инструменты необходимый уровень безопасности и защиты конфиденциальных данных?
";"Насколько Вы удовлетворены функциональностью АИС &laquo;Платон&raquo;?
";"Имеете ли Вы какие-либо предложения по улучшению АИС &laquo;Платон&raquo;?
";"Какими подсистемами Вы пользуетесь в АИС SmartENU?
";"Насколько Вы удовлетворены функциональностью АИС SmartENU?
";"Оцените, насколько АИС SmartENU улучшает Вашу производительность и эффективность работы
";"Имеете ли вы какие-либо предложения по улучшению АИС SmartENU?
";"Насколько Вы удовлетворены удобством предоставления образования посредством МООК (доступность платформы, понятный интерфейс, качество видео массовых открытых онлайн курсов)?
"
22190369;2025-12-26 19:54;Бакалавриат;Институт Естественных наук;Кафедра Биотехнологии и микробиологии;Биологические и смежные науки;3;Казахский язык;Русский язык;Бакалавр;Факультет Естественных Наук;Хорошее;Нет проблем;Хорошо;Мобильность комплекса;Удовлетворительный;В никаких;Иногда;Средне;Онлайн-документы;Хорошая;Иногда;Удобно;Нету;Продвинутый: высокий уровень навыков в использовании цифровых инструментов, способность решать сложные задачи.;Да;Управление учебными исследованиями: поиск и анализ академических ресурсов, управление исследовательских проектов, совместная работа над научными публикациями, Управление временем и задачами: планирование расписания, создание списка дел, отслеживание сроков выполнения задач, Участие в профессиональном развитии: доступ к онлайн-курсам, сетевое общение с коллегами, участие в вебинарах и тренингах;Улучшение коммуникации и совместной работы;Проблемы с безопасностью и конфиденциальностью данных при использовании цифровых инструментов, включая угрозы кибератак и утечек информации;Индивидуальные консультации и помощь специалистов по цифровым инструментам для решения специфических проблем или вопросов;Да;7.0;Скорее не соответствуют;Инструменты легки в использовании, легко осваиваются и комфортны;8.0;6.0;5.0;5.0;8.0;5.0;Ограниченно интегрированы, только с некоторыми системами и сервисами университета;Предоставляют частично;Скорее не обеспечивают;4.0;Нет;АИС «KPI ENU», Подсистема формирования и выдачи электронного сертификата, Подписание договоров на оказание услуг по научным проектам;6.0;5.0;Да;6.0
22190371;2025-12-26 14:16;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;3;Казахский язык;Русский язык;Бакалавр;Филология факултет;Хорошее;Нет проблем;Хорошо;Большой экран;Хороший;Ничего;Редко;Удобны;Облачное хранилище;Хорошая;Иногда;Удобно;Нет;Базовый: основные навыки в работе с цифровыми инструментами, но требуется дополнительное обучение;Нет;Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч;Возможность выполнять задачи быстрее и эффективнее благодаря автоматизации процессов и доступу к информации в реальном времени;Постоянные проблемы с подключением к сети интернет или низкая скорость, что затрудняет доступ к цифровым ресурсам и выполнение задач;Обучающие курсы и тренинги по использованию конкретных цифровых инструментов, таких как платформы для онлайн-обучения, офисные приложения, научные базы данных и др.;Доступ к научным базам данных и образовательным платформам;7.0;Скорее соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;7.0;7.0;6.0;6.0;7.0;6.0;Ограниченно интегрированы, только с некоторыми системами и сервисами университета;Предоставляют частично;Скорее обеспечивают;6.0;Затрудняюсь ответить;Сайт ЕНУ;7.0;7.0;Затрудняюсь ответить;7.0
22190406;2025-12-26 12:42;Бакалавриат;Механико-математический;Кафедра Математическое и компьютерное моделирование;Математика и статистика;3;Казахский язык;Русский язык;Бакалавр;ММФ;Хорошее;Недостаток установленного ПО;Хорошо;Большой экран;Удовлетворительный;2-3-4 этаж;Нет;Не использую;Корпоративная почта;Хорошая;Иногда;Удобно;-;Базовый: основные навыки в работе с цифровыми инструментами, но требуется дополнительное обучение;Ноут;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч;Возможность выполнять задачи быстрее и эффективнее благодаря автоматизации процессов и доступу к информации в реальном времени;Постоянные проблемы с подключением к сети интернет или низкая скорость, что затрудняет доступ к цифровым ресурсам и выполнение задач;Затрудняюсь ответить;-;7.0;Скорее не соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;5.0;7.0;5.0;5.0;5.0;5.0;Затрудняюсь ответить;Предоставляют частично;Скорее обеспечивают;7.0;-;Сервис выдачи справки с места работы, Сайт ЕНУ;5.0;5.0;-;7.0
22190416;2025-12-27 11:09;Бакалавриат;Институт Цифровых наук и искусственного интеллекта;Кафедра Компьютерная и программная инженерия;Информационные технологии;3;Русский язык;Русский язык;Бакалавр;фит;Удовлетворительное;Нет проблем;Удовлетворительно;Сенсорное управление;Плохой;лекционные кабинеты;Нет;Не использую;Онлайн-документы;Удовлетворительная;Иногда;Неудобно;-;Средний: уверенное владение основными цифровыми инструментами, способность эффективно выполнять задачи.;-;Управление временем и задачами: планирование расписания, создание списка дел, отслеживание сроков выполнения задач;Улучшение коммуникации и совместной работы;Отсутствие или недостаточная техническая поддержка при возникновении проблем с цифровыми инструментами;Доступ к обучающим материалам и руководствам (видеоуроки, инструкции, FAQ) по использованию цифровых инструментов;-;3.0;Совершенно не соответствуют;Инструменты легки в использовании, легко осваиваются и комфортны;4.0;4.0;5.0;4.0;5.0;3.0;Затрудняюсь ответить;Представляют в полной мере;Скорее обеспечивают;4.0;-;Формирование плана и отчета реализации Операционного плана ЕНУ им.Л.Н. Гумилева;4.0;5.0;-;3.0
22190419;2025-12-27 10:55;Бакалавриат;Институт Физико–технических наук;Кафедра Радиотехника, электроника и телекоммуникации;Коммуникации и коммуникационные технологии;3;Казахский язык;Русский язык;Бакалавр;ФТҒИ;Удовлетворительное;Недостаток установленного ПО, Медленная загрузка;Плохо;Мобильность комплекса;Удовлетворительный;ЦИСИ 4 этаж;Да, активно;Удобны;Онлайн-документы;Хорошая;Иногда;Очень удобно;П;Продвинутый: высокий уровень навыков в использовании цифровых инструментов, способность решать сложные задачи.;MS Office  Teams;Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч, Участие в профессиональном развитии: доступ к онлайн-курсам, сетевое общение с коллегами, участие в вебинарах и тренингах;Доступ к необходимой информации из любого места и в любое время через онлайн-сервисы и цифровые инструменты (облачные хранилища данных или электронные библиотеки);Отсутствие интеграции цифровых инструментов с другими системами и сервисами, что приводит к сложностям;Обучение по вопросам кибербезопасности и защиты данных при работе с цифровыми инструментами;MS Office , бізге РЭТ кафедрасына Cisco Network Academy курстарына доступ керек.;7.0;Скорее соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;7.0;10.0;7.0;7.0;1.0;3.0;Затрудняюсь ответить;Не предоставляют совсем;Совсем не обеспечивают;8.0;Нет;АИС «KPI ENU», Сервис выдачи справки с места работы, Затрудняюсь ответить;6.0;6.0;Нет;6.0
22190467;2025-12-30 22:22;Бакалавриат;Институт Физико–технических наук;Кафедра Технической физики;Подготовка учителей физики;3;Казахский язык;Русский язык;Бакалавр;ФТФ;Неудовлетворительное;Недостаток установленного ПО;Удовлетворительно;Встроенный компьютер;Хороший;В БИБЛИОТЕКЕ;Да, активно;Удобны;Онлайн-документы;Хорошая;Иногда;Очень удобно;Ю;Средний: уверенное владение основными цифровыми инструментами, способность эффективно выполнять задачи.;/;Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи;Увеличение гибкости и мобильности, возможность работать удаленно или в пути;Отсутствие интеграции цифровых инструментов с другими системами и сервисами, что приводит к сложностям;Обучение по вопросам кибербезопасности и защиты данных при работе с цифровыми инструментами;Э;8.0;Скорее соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;6.0;7.0;7.0;8.0;9.0;8.0;Хорошо интегрированы с другими системами и сервисами университета;Предоставляют частично;Скорее обеспечивают;7.0;Э;Мобильное приложение Smart.ENU;7.0;5.0;Ж;5.0
22190483;2025-12-29 20:03;Бакалавриат;Институт Цифровых наук и искусственного интеллекта;Кафедра Информационной безопасности;Информационная безопасность;3;Русский язык;Русский язык;Бакалавр;Информационные технологии;Хорошее;Недостаток установленного ПО;Удовлетворительно;Мобильность комплекса;Удовлетворительный;на 4 этаже;Да, активно;Очень удобны;Онлайн-документы;Удовлетворительная;Часто;Удобно;не задумывалась;Продвинутый: высокий уровень навыков в использовании цифровых инструментов, способность решать сложные задачи.;Платформы для видеоконференций · Электронные доски · Онлайн-документы и электронные таблицы;Управление временем и задачами: планирование расписания, создание списка дел, отслеживание сроков выполнения задач, Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи;Возможность выполнять задачи быстрее и эффективнее благодаря автоматизации процессов и доступу к информации в реальном времени;Постоянные проблемы с подключением к сети интернет или низкая скорость, что затрудняет доступ к цифровым ресурсам и выполнение задач;Обучающие курсы и тренинги по использованию конкретных цифровых инструментов, таких как платформы для онлайн-обучения, офисные приложения, научные базы данных и др.;.;8.0;В полной мере соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;5.0;5.0;5.0;5.0;5.0;5.0;Полностью интегрированы с другими системами и сервисами университета;Предоставляют частично;Скорее обеспечивают;5.0;.;Затрудняюсь ответить;4.0;4.0;.;4.0
22190504;2025-12-28 12:18;Бакалавриат;Институт Естественных наук;Кафедра Общей биологии и геномики;Биологические и смежные науки;3;Казахский язык;Русский язык;Бакалавр;ФЕН;Неудовлетворительное;Недостаточная производительность, Недостаток установленного ПО, Медленная загрузка;Плохо;Большой экран;Плохой;везде;Иногда;Средне;Онлайн-документы;Плохая;Часто;Удобно;Чтобы меньше работали на платонусе, муке и мудл. Мне кажется работая в мудл, мук мы регрессируем. О здоровье вообще молчу. Глаза вообще отсохли. Пожалуйста отмегите рефераты, презентации, лабораторки.;Средний: уверенное владение основными цифровыми инструментами, способность эффективно выполнять задачи.;Разные;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч, Управление учебными исследованиями: поиск и анализ академических ресурсов, управление исследовательских проектов, совместная работа над научными публикациями;Затрудняюсь ответить;Неудобный интерфейс или сложные функции цифровых инструментов, что требует дополнительного времени и усилий для освоения их работы;Индивидуальные консультации и помощь специалистов по цифровым инструментам для решения специфических проблем или вопросов;все;1.0;Совершенно не соответствуют;Работать с ними по большей части неудобно, слишком сложно;4.0;9.0;3.0;1.0;3.0;2.0;Полностью интегрированы с другими системами и сервисами университета;Не предоставляют совсем;Скорее не обеспечивают;5.0;нет, лучше бы вообще убрали;Мобильное приложение Smart.ENU, Сервис выдачи справки с места работы, Терминал электронной очереди, Сайт ЕНУ, Сайт факультетов;7.0;7.0;нет;7.0
22190531;2025-12-27 00:51;Бакалавриат;Высшая школа образования;Кафедра Теории и практики иностранных языков;Подготовка учителей иностранного языка;3;Казахский язык;Русский язык;Бакалавр;Филология факультет;Хорошее;Недостаточная производительность;Хорошо;Большой экран;Хороший;Хорошо;Да, активно;Удобны;Онлайн-документы;Хорошая;Иногда;Удобно;Не знаю;Начинающий: минимальные знания и опыт использования цифровых инструментов.;Хорошо;Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч;Доступ к необходимой информации из любого места и в любое время через онлайн-сервисы и цифровые инструменты (облачные хранилища данных или электронные библиотеки);Постоянные проблемы с подключением к сети интернет или низкая скорость, что затрудняет доступ к цифровым ресурсам и выполнение задач;Консультации и поддержку в формате онлайн-вебинаров или групповых сессий по вопросам использования цифровых инструментов;Хорошо;3.0;Скорее соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;3.0;4.0;4.0;4.0;4.0;4.0;Ограниченно интегрированы, только с некоторыми системами и сервисами университета;Предоставляют частично;Скорее обеспечивают;2.0;Хорошо;Планы и отчеты научных подразделений, Сайт ЕНУ;4.0;3.0;Хорошо;4.0
22190540;2025-12-28 17:24;Бакалавриат;Институт Цифровых наук и искусственного интеллекта;Кафедра Компьютерная и программная инженерия;Информационные технологии;3;Русский язык;Русский язык;Бакалавр;ФИТ;Хорошее;Недостаточная производительность, Недостаток установленного ПО, Медленная загрузка;Хорошо;Большой экран;Плохой;-;Иногда;Удобны;Корпоративная почта;Удовлетворительная;Часто;Удобно;-;Базовый: основные навыки в работе с цифровыми инструментами, но требуется дополнительное обучение;-;Затрудняюсь ответить;Затрудняюсь ответить;Затрудняюсь ответить;Обучающие курсы и тренинги по использованию конкретных цифровых инструментов, таких как платформы для онлайн-обучения, офисные приложения, научные базы данных и др.;-;8.0;Скорее соответствуют;Инструменты легки в использовании, легко осваиваются и комфортны;8.0;8.0;8.0;8.0;8.0;8.0;Хорошо интегрированы с другими системами и сервисами университета;Предоставляют частично;Скорее обеспечивают;8.0;-;Затрудняюсь ответить;8.0;8.0;-;8.0
22190544;2025-12-27 14:53;Бакалавриат;Институт Физико–технических наук;Кафедра Общей и теоретической физики;Физика;3;Казахский язык;Русский язык;Бакалавр;ИФТН;Хорошее;Недостаток установленного ПО, Медленная загрузка;Отлично;Мобильность комплекса;Хороший;В компьютерных классов;Редко;Удобны;Корпоративная почта;Отличная;Иногда;Очень удобно;Никакой;Базовый: основные навыки в работе с цифровыми инструментами, но требуется дополнительное обучение;Пайтон, мазкад, тимс;Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч;Доступ к необходимой информации из любого места и в любое время через онлайн-сервисы и цифровые инструменты (облачные хранилища данных или электронные библиотеки);Затрудняюсь ответить;Затрудняюсь ответить;...;9.0;Скорее соответствуют;Работать с ними по большей части неудобно, слишком сложно;9.0;8.0;9.0;8.0;9.0;8.0;Затрудняюсь ответить;Затрудняюсь ответить;Затрудняюсь ответить;8.0;...;Сайт ЕНУ;9.0;9.0;... .;9.0
22190567;2025-12-26 13:02;Бакалавриат;Институт Естественных наук;Кафедра Общей биологии и геномики;Биологические и смежные науки;3;Русский язык;Русский язык;Бакалавр;Фен;Отличное;Медленная загрузка;Удовлетворительно;Сенсорное управление;Удовлетворительный;В стороне лабораторных;Да, активно;Средне;Онлайн-документы;Удовлетворительная;Иногда;Удобно;Нету;Средний: уверенное владение основными цифровыми инструментами, способность эффективно выполнять задачи.;Ворд;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий;Возможность выполнять задачи быстрее и эффективнее благодаря автоматизации процессов и доступу к информации в реальном времени;Постоянные проблемы с подключением к сети интернет или низкая скорость, что затрудняет доступ к цифровым ресурсам и выполнение задач;Затрудняюсь ответить;Нет;8.0;Скорее соответствуют;Работать с ними очень удобно и просто;1.0;1.0;1.0;4.0;3.0;9.0;Хорошо интегрированы с другими системами и сервисами университета;Не предоставляют совсем;Совсем не обеспечивают;6.0;Ппр;Планы и отчеты научных подразделений, Мобильное приложение Smart.ENU, Сайт ЕНУ, Сайт факультетов;4.0;6.0;Рпи;1.0
22190588;2025-12-26 13:01;Бакалавриат;Институт Естественных наук;Кафедра Общей биологии и геномики;Биологические и смежные науки;3;Русский язык;Русский язык;Бакалавр;Биология;Хорошее;Медленная загрузка;Удовлетворительно;Встроенный компьютер;Удовлетворительный;На первом этаже;Редко;Средне;Онлайн-документы;Удовлетворительная;Часто;Неудобно;-;Затрудняюсь ответить;-;Затрудняюсь ответить;Возможность использования цифровых инструментов для доступа к научным исследованиям, анализу данных, визуализации результатов;Недостаточное оборудование и инфраструктура для эффективной работы с цифровыми инструментами (например, устаревшие компьютеры или недостаточное количество устройств);Создание сообщества пользователей цифровых инструментов, где можно обмениваться опытом и получать советы от коллег;-;4.0;Скорее не соответствуют;Работать с ними очень удобно и просто;3.0;3.0;2.0;3.0;3.0;3.0;Затрудняюсь ответить;Не предоставляют совсем;Скорее не обеспечивают;2.0;-;Затрудняюсь ответить;3.0;2.0;-;2.0
22190610;2025-12-26 11:01;Бакалавриат;Институт Цифровых наук и искусственного интеллекта;Кафедра Информационной безопасности;Информационная безопасность;3;Русский язык;Русский язык;Бакалавр;Фит;Удовлетворительное;Нет проблем;Удовлетворительно;Большой экран;Удовлетворительный;В людных местах;Нет;Неудобны;Онлайн-документы;Плохая;Редко;Очень удобно;Ы;Затрудняюсь ответить;А;Затрудняюсь ответить;Затрудняюсь ответить;Затрудняюсь ответить;Затрудняюсь ответить;О;6.0;Скорее соответствуют;Затрудняюсь ответить;5.0;5.0;5.0;5.0;6.0;6.0;Затрудняюсь ответить;Затрудняюсь ответить;Затрудняюсь ответить;6.0;Н;Затрудняюсь ответить;1.0;2.0;Улучшение интерфейса;8.0
22190615;2025-12-27 22:14;Бакалавриат;Институт Естественных наук;Кафедра Биотехнологии и микробиологии;Биологические и смежные науки;3;Казахский язык;Русский язык;Бакалавр;ФЕН;Удовлетворительное;Недостаточная производительность, Недостаток установленного ПО, Медленная загрузка;Хорошо;Большой экран;Удовлетворительный;В кабинетах например в 233;Нет;Не использую;Онлайн-документы;Плохая;Часто;Удобно;не знаю;Средний: уверенное владение основными цифровыми инструментами, способность эффективно выполнять задачи.;"Microsoft Teams, Google Docs(и другие), AI(gpt или gemini) 
Youtube";Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч, Управление временем и задачами: планирование расписания, создание списка дел, отслеживание сроков выполнения задач, Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи;Возможность использования цифровых инструментов для доступа к научным исследованиям, анализу данных, визуализации результатов;Недостаточное количество или отсутствие определенных функций в цифровых инструментах, необходимых для выполнения определенных задач или процессов;Доступ к обучающим материалам и руководствам (видеоуроки, инструкции, FAQ) по использованию цифровых инструментов;"Youtube
docs
AI";7.0;Скорее соответствуют;Инструменты легки в использовании, легко осваиваются и комфортны;8.0;6.0;5.0;9.0;7.0;4.0;Ограниченно интегрированы, только с некоторыми системами и сервисами университета;Предоставляют частично;Скорее не обеспечивают;7.0;нет;Мобильное приложение Smart.ENU, Сайт ЕНУ, Сайт факультетов, Сайты научных журналов;7.0;7.0;нет;10.0
22190649;2025-12-26 11:40;Бакалавриат;Институт Естественных наук;Кафедра Химии;Химия;3;Русский язык;Русский язык;Бакалавр;ФЕН;Удовлетворительное;Недостаточная производительность, Медленная загрузка;Удовлетворительно;Большой экран;Хороший;Лаборатории;Иногда;Очень удобны;Облачное хранилище;Хорошая;Иногда;Удобно;Завершить интеграцию integrated GPA;Продвинутый: высокий уровень навыков в использовании цифровых инструментов, способность решать сложные задачи.;Microsoft office приложения;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч, Управление учебными исследованиями: поиск и анализ академических ресурсов, управление исследовательских проектов, совместная работа над научными публикациями, Управление временем и задачами: планирование расписания, создание списка дел, отслеживание сроков выполнения задач, Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи;Возможность выполнять задачи быстрее и эффективнее благодаря автоматизации процессов и доступу к информации в реальном времени;Постоянные проблемы с подключением к сети интернет или низкая скорость, что затрудняет доступ к цифровым ресурсам и выполнение задач;Доступ к обучающим материалам и руководствам (видеоуроки, инструкции, FAQ) по использованию цифровых инструментов;MatLAB, OroginPro, ASP, Quantum ESPRESSO, Gaussian, Gemini Pro;7.0;Скорее соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;6.0;3.0;7.0;8.0;3.0;2.0;Ограниченно интегрированы, только с некоторыми системами и сервисами университета;Предоставляют частично;Затрудняюсь ответить;8.0;Интегрированный GPA (социальный + научный GPA);Затрудняюсь ответить;6.0;6.0;-;6.0
22190659;2025-12-28 01:09;Бакалавриат;Архитектурно-строительный;Кафедра Строительство;Градостроительство, строительные работы и гражданское строительство;3;Казахский язык;Русский язык;Бакалавр;АСФ;Хорошее;Медленная загрузка;Отлично;Сенсорное управление;Удовлетворительный;В подвале;Нет;Не использую;Облачное хранилище;Плохая;Часто;Удобно;Никаких предложении;Средний: уверенное владение основными цифровыми инструментами, способность эффективно выполнять задачи.;Интернет;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч, Управление учебными исследованиями: поиск и анализ академических ресурсов, управление исследовательских проектов, совместная работа над научными публикациями;Возможность выполнять задачи быстрее и эффективнее благодаря автоматизации процессов и доступу к информации в реальном времени;Постоянные проблемы с подключением к сети интернет или низкая скорость, что затрудняет доступ к цифровым ресурсам и выполнение задач;Затрудняюсь ответить;Все устраивает;8.0;В полной мере соответствуют;Инструменты легки в использовании, легко осваиваются и комфортны;10.0;10.0;10.0;10.0;10.0;10.0;Полностью интегрированы с другими системами и сервисами университета;Представляют в полной мере;Скорее обеспечивают;8.0;Не имею;Планы и отчеты научных подразделений, Подписание договоров на оказание услуг по научным проектам, Сайт ЕНУ, Сайт факультетов;8.0;10.0;Не имею;10.0
22190671;2025-12-30 18:44;Бакалавриат;Высшая школа Экономики и туризма;Кафедра Туризма;Ресторанное дело и гостиничный бизнес;3;Русский язык;Русский язык;Бакалавр;Экономический;Удовлетворительное;Недостаточная производительность, Медленная загрузка;Хорошо;Сенсорное управление;Удовлетворительный;В 300 кабинетах;Нет;Не использую;Корпоративная почта;Удовлетворительная;Иногда;Удобно;Предложений нет;Начинающий: минимальные знания и опыт использования цифровых инструментов.;Канва;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий;Возможность выполнять задачи быстрее и эффективнее благодаря автоматизации процессов и доступу к информации в реальном времени;Постоянные проблемы с подключением к сети интернет или низкая скорость, что затрудняет доступ к цифровым ресурсам и выполнение задач;Обучающие курсы и тренинги по использованию конкретных цифровых инструментов, таких как платформы для онлайн-обучения, офисные приложения, научные базы данных и др.;Доступ;7.0;Скорее соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;7.0;7.0;7.0;7.0;7.0;7.0;Практически не интегрированы с другими системами и сервисами университета;Предоставляют частично;Скорее обеспечивают;4.0;Нет;Система онлайн голосования диссертационных советов;5.0;3.0;Нет;3.0
22190727;2025-12-26 13:08;Бакалавриат;Институт Физико–технических наук;Кафедра Общей и теоретической физики;Физика;3;Казахский язык;Русский язык;Бакалавр;фтф;Хорошее;Нет проблем;Хорошо;Мобильность комплекса;Хороший;не знаю;Да, активно;Удобны;Онлайн-документы;Отличная;Иногда;Удобно;.;Экспертный: глубокое понимание и мастерство в использовании цифровых инструментов, способность к инновациям и разработке новых методов.;.;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий;Доступ к необходимой информации из любого места и в любое время через онлайн-сервисы и цифровые инструменты (облачные хранилища данных или электронные библиотеки);Отсутствие интеграции цифровых инструментов с другими системами и сервисами, что приводит к сложностям;Обучающие курсы и тренинги по использованию конкретных цифровых инструментов, таких как платформы для онлайн-обучения, офисные приложения, научные базы данных и др.;.;6.0;Скорее соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;9.0;8.0;8.0;8.0;9.0;8.0;Ограниченно интегрированы, только с некоторыми системами и сервисами университета;Представляют в полной мере;Скорее обеспечивают;7.0;.;Сервис выдачи справки с места работы, Сайт ЕНУ;7.0;7.0;.;9.0
